frequency=10000
wave0	Time
1.426016	0.147820
1.431040	0.147824
1.436064	0.147827
1.431040	0.147831
1.436064	0.147834
1.431040	0.147837
1.436064	0.147841
1.431040	0.147844
1.415968	0.147848
1.431040	0.147851
1.426016	0.147855
1.431040	0.147858
1.426016	0.147862
1.431040	0.147865
1.436064	0.147868
1.436064	0.147872
1.436064	0.147875
1.431040	0.147879
1.431040	0.147882
1.431040	0.147886
1.431040	0.147889
1.426016	0.147893
1.426016	0.147896
1.431040	0.147900
1.436064	0.147903
1.431040	0.147906
1.436064	0.147910
1.436064	0.147913
1.436064	0.147917
1.436064	0.147920
1.436064	0.147924
1.431040	0.147927
1.431040	0.147931
1.436064	0.147934
1.426016	0.147938
1.436064	0.147941
1.441088	0.147945
1.441088	0.147948
1.431040	0.147951
1.436064	0.147955
1.426016	0.147958
1.431040	0.147962
1.426016	0.147965
1.431040	0.147969
1.436064	0.147972
1.431040	0.147976
1.436064	0.147979
1.431040	0.147983
1.431040	0.147986
1.431040	0.147990
1.436064	0.147993
1.436064	0.147997
1.431040	0.148000
1.436064	0.148003
1.436064	0.148007
1.426016	0.148010
1.436064	0.148014
1.431040	0.148017
1.426016	0.148020
1.426016	0.148024
1.431040	0.148027
1.431040	0.148031
1.431040	0.148034
1.431040	0.148038
1.426016	0.148041
1.431040	0.148044
1.431040	0.148048
1.436064	0.148051
1.436064	0.148055
1.431040	0.148058
1.431040	0.148061
1.436064	0.148065
1.436064	0.148068
1.436064	0.148072
1.436064	0.148075
1.436064	0.148079
1.431040	0.148082
1.436064	0.148086
1.436064	0.148089
1.436064	0.148092
1.426016	0.148096
1.426016	0.148099
1.426016	0.148103
1.420992	0.148106
1.431040	0.148109
1.436064	0.148113
1.436064	0.148116
1.436064	0.148120
1.436064	0.148123
1.431040	0.148126
1.431040	0.148130
1.436064	0.148146
1.436064	0.148150
1.436064	0.148154
1.431040	0.148158
1.436064	0.148161
1.431040	0.148165
1.436064	0.148168
1.436064	0.148172
1.431040	0.148175
1.426016	0.148179
1.431040	0.148182
1.436064	0.148186
1.431040	0.148189
1.431040	0.148193
1.426016	0.148196
1.431040	0.148200
1.431040	0.148203
1.431040	0.148207
1.431040	0.148210
1.431040	0.148214
1.436064	0.148217
1.431040	0.148221
1.431040	0.148224
1.431040	0.148228
1.436064	0.148231
1.436064	0.148235
1.436064	0.148238
1.436064	0.148241
1.431040	0.148245
1.431040	0.148248
1.436064	0.148252
1.431040	0.148255
1.436064	0.148259
1.431040	0.148262
1.431040	0.148266
1.420992	0.148269
1.426016	0.148272
1.431040	0.148276
1.420992	0.148279
1.431040	0.148283
1.436064	0.148286
1.431040	0.148290
1.436064	0.148293
1.431040	0.148296
1.436064	0.148300
1.436064	0.148303
1.436064	0.148307
1.436064	0.148310
1.431040	0.148314
1.436064	0.148317
1.436064	0.148321
1.431040	0.148324
1.431040	0.148327
1.431040	0.148331
1.436064	0.148334
1.436064	0.148338
1.426016	0.148341
1.431040	0.148345
1.426016	0.148348
1.431040	0.148351
1.426016	0.148355
1.431040	0.148358
1.436064	0.148362
1.431040	0.148365
1.431040	0.148369
1.441088	0.148372
1.431040	0.148376
1.431040	0.148379
1.436064	0.148382
1.436064	0.148386
1.431040	0.148389
1.431040	0.148393
1.431040	0.148396
1.436064	0.148400
1.431040	0.148403
1.436064	0.148406
1.431040	0.148410
1.436064	0.148413
1.431040	0.148417
1.426016	0.148420
1.431040	0.148424
1.431040	0.148427
1.431040	0.148430
1.431040	0.148434
1.431040	0.148437
1.426016	0.148441
1.436064	0.148444
1.431040	0.148448
1.436064	0.148451
